Taxon,leafN.mg.g,height.m,rootN.mg.g,SLA_m2.kg,root.depth_m,RTD.g.cm3,SRL_m.g,rootDiam.mm,Notes,Citation,,,,
VICIA CRACCA,41.79727454,0.879038889,24.42381,26.81365133,0.3048,0.195683333,41.43187551,0.463024976,"RTD, SRL, diam from groot","leafN, height, rootN, SLA, depth from TRY",,,,
VICIA HIRSUTA,43.2098,0.4375,28.02801,22.05714286,0.66,0.3375,87.90712843,0.2074,"rootN, RTD, SRL, diam from groot",depth from Tumber-Davila et al. 2022 New Phytol,"leafN, height, SLA from TRY",,,
VICIA SATIVA,44.5,0.7509,3.5,26.61714286,0.3048,0.430769231,60.47073255,0.222666667,"rootN, RTD, SRL, diam from groot",leafN from Jecol-2017-0709.R2,"height, SLA, depth from TRY",,,
VICIA SEPIUM,46.0056,0.683333333,27.307,38.73428571,0.52,NA,77.475,NA,depth from Tumber-Davila et al. 2022 New Phytol,SRL from Lachaise et al. 2021 Oikos,"leafN, height, rootN, SLA from TRY",,,
VIOLA ADUNCA,15.95,0.039025,NA,19.58593341,NA,0.357352941,90.4657319,0.30847,"height, SLA from Carmona et al. 2021 Sci Adv","RTD, SRL, diam from groot",leafN from TRY,,,
VIOLA BETONICIFOLIA,NA,0.2,NA,17.081108,NA,NA,NA,NA,"height, SLA from Austraits",,,,,
VIOLA PEDATIFIDA,25.736505,NA,NA,26.39980057,NA,NA,NA,NA,"leafN, SLA from TRY",,,,,
VULPIA BROMOIDES,17.77777778,0.2225,NA,20.86,0.4995,NA,417.75,0.2945,"depth, SRL, diam from groot",leafN from Komastu et al. 2023 EDI,"height, SLA from TRY",,,
VULPIA MICROSTACHYS,44.76684417,0.1525,NA,14.622,NA,NA,496.2265033,NA,SRL from groot,leafN from BIEN Welsh ME,"height, SLA from Kandlikar 2020 Dissertation",,,
VULPIA MYUROS,17.1507779,0.435733333,7.5,22.38333333,0.3048,0.044,268.91,NA,"rootN, RTD, SRL from groot",leafN from Austraits,"height, SLA, depth from TRY",,,
VULPIA OCTOFLORA,19.49,0.127,NA,53.5,0.18,0.243529486,437.3523058,0.11168,"RTD, SRL, diam from groot",SLA and height from Julie Larson,,,,
WAHLENBERGIA GRACILENTA,NA,0.4,NA,42.353548,NA,NA,NA,NA,"height, SLA from Austraits",,,,,
WAHLENBERGIA STRICTA,NA,0.9,NA,29.447,NA,NA,NA,NA,"height, leafN from Austraits",,,,,
WALTHERIA INDICA,22.3,3.166666667,NA,11.13585746,NA,NA,NA,NA,"leafN, SLA from TRY",height from austraits,,,,
WURMBEA DIOICA,NA,0.35,NA,17.220305,NA,NA,NA,0.55666667,"height, SLA, diam from AusTraits",,,,,
WYETHIA AMPLEXICAULIS,21.71476494,0.762,NA,9.846176257,0.4064,NA,56.76494359,0.623433333,"leafN, SLA from Carmona et al. 2021 Sci Adv","SRL, diam from groot","height, depth from TRY",,,
ZINNIA GRANDIFLORA,NA,NA,NA,13.11271663,1.5,NA,31.03415,0.41,"SLA, SRL, Diam from Farkas, T.E., B.P. Gerstner, and K.D. Whitney. 2021. SEV-LTER Plant Traits Database ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/5b3a6d80a1c6d3121a2196cb40838849 (Accessed 2023-03-20).",depth from groot,,,,
ZIZIA APTERA,16.074,NA,NA,40.37573969,NA,NA,NA,NA,"leafN, SLA from TRY",,,,,
